,intercept,layer,node,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49
0,-0.20550308,0,0,-0.03466589,0.07582639,-0.046652965,-0.015495011,-0.013824789,-0.0552848,-0.016612578,0.27181795,-0.002006361,0.009196411,-0.103447735,0.0113271205,-0.0125395935,0.18618405,-0.07213592,0.029405678,-0.054799464,0.16154222,-0.20205973,-0.12216686,0.09797508,0.116598934,-0.058414478,0.049940616,0.042809386,-0.15270677,0.188286,-0.12519039,-0.03717653,-0.094290204,0.0029324573,0.120317616,,,,,,,,,,,,,,,,,,
1,-0.08114288,0,1,-0.0036288514,-0.11619052,-0.14659053,-0.12631708,0.00085103005,0.096129924,0.08114124,-0.007902858,0.031242484,0.0057534035,0.014692554,0.028679553,-0.062818855,0.05725896,0.07490968,-0.032102834,-0.0060625705,0.017334403,0.064595796,0.08100952,0.0976438,0.006743446,0.043808278,0.14789289,-0.02014888,-0.16035599,-0.10634871,-0.12569758,0.02673792,0.011198046,-0.001755607,-0.0016650681,,,,,,,,,,,,,,,,,,
2,-0.15823866,0,2,-0.12301088,-0.028490493,-0.13236284,0.18981874,0.108502984,0.032156695,-0.2972354,-0.12884952,0.15548229,-0.06199818,0.14758153,0.092057936,0.056973286,-0.093055874,-0.055594005,-0.14039242,0.03528884,0.08725912,0.16497876,-0.27525404,-0.040181484,-0.10840871,-0.0763194,-0.03280139,0.046242572,-0.019342232,-0.06368393,0.035174794,0.13433422,0.1514449,-0.06559528,0.03182359,,,,,,,,,,,,,,,,,,
3,-0.10044362,0,3,0.053714514,-0.0808806,-0.07318477,-0.0443847,0.13409597,-0.0777466,-0.10981095,-0.15609443,-0.11015209,-0.09831392,0.030719936,-0.060614403,-0.06410621,-0.056814406,0.036399018,0.09009506,-0.089137994,0.15479152,-0.031870626,-0.06991283,0.10130943,0.06410626,0.10613774,0.055486027,0.13862537,0.1349845,-0.034288682,-0.03585054,-0.31800258,-0.17044419,0.04480361,-0.06454688,,,,,,,,,,,,,,,,,,
4,-0.2896005,0,4,-0.02319668,-0.053830795,-0.06672156,0.1392271,0.06383369,0.09190849,0.016014017,-0.08218564,-0.0044078114,0.057283532,0.2050802,0.14522792,0.08853794,0.2044923,-0.15735401,0.085222006,-0.068861395,-0.026227405,0.16940619,0.10262434,-0.061907955,0.053395268,-0.03071639,-0.1037084,0.015935808,0.021527117,-0.0076680644,-0.2076252,0.045565493,-0.033496223,0.07907988,0.04950637,,,,,,,,,,,,,,,,,,
5,-0.049374618,0,5,0.023649218,-0.081158385,-0.029841887,-0.26537344,-0.03787965,-0.11179018,-0.090097554,0.0006019619,-0.042137347,-0.079202905,0.03102949,-0.006312809,0.04469372,-0.022488672,-0.055166706,0.079572916,-0.09053222,0.011186435,0.1953771,-0.13920264,0.033572495,-0.027595323,-0.058204293,-0.092520304,-0.019399572,0.21557564,0.1997162,-0.012959557,-0.1943607,0.05259099,0.084002234,-0.060397293,,,,,,,,,,,,,,,,,,
6,0.043275923,0,6,-0.05146334,0.110961184,-0.10336582,-0.1496513,-0.10017705,0.044249047,-0.14333743,-0.04003111,0.0082622655,0.07658066,0.02505677,-0.04180048,0.014920097,0.09910845,0.01911937,0.0608538,0.055632338,0.004099067,0.088282414,-0.065271795,0.046529356,-0.043193903,0.069418184,0.16791454,-0.113985814,-0.16170518,0.20410177,-0.04055436,0.0125531815,0.10259854,0.05280074,-0.051777847,,,,,,,,,,,,,,,,,,
7,-0.0074646026,0,7,-0.19311346,-0.013798857,-0.26535478,0.025805173,0.010153077,-0.1204661,0.019430522,-0.009491075,0.06422762,-0.035325013,0.018176796,-0.025230488,0.08993737,-0.13876054,-0.14990142,0.040062197,0.09704421,0.14657083,0.081154995,-0.04031329,-0.06580505,-0.23355252,-0.058592394,-0.10502694,-0.12418333,-0.040652182,0.043505847,0.08836014,0.15015776,-0.055253055,-0.091181986,-0.12635845,,,,,,,,,,,,,,,,,,
8,-0.32423818,0,8,0.04676585,0.15934506,0.008272823,-0.036204,0.005072487,-0.07659462,0.11054317,-0.0011503925,-0.08705481,-0.045704793,-0.019081961,0.036565244,0.037950907,-0.05707797,-0.022672294,-0.040070996,-0.15711576,-0.023887714,-0.36952224,-0.04000063,0.1886976,0.11161916,-0.046594385,-0.0055221473,0.0824811,-0.106398225,-0.29889935,0.002632719,0.06961847,0.16161285,0.06574657,0.07178489,,,,,,,,,,,,,,,,,,
9,-0.085716754,0,9,0.059893392,-0.11557752,-0.18309878,0.028131552,0.007720156,-0.023451567,0.029001202,-0.10286751,0.17460509,-0.16373809,0.010265586,-0.07495517,-0.06681114,-0.05281718,-0.064363234,0.025572747,-0.022345766,-0.0032504164,-0.01459903,-0.0033110548,-0.028674489,-0.055702683,-0.14541289,-0.0356799,-0.033904932,-0.015124909,0.13157144,0.16774754,-0.029797297,0.046029314,0.057732068,-0.05252357,,,,,,,,,,,,,,,,,,
