x_turb2,y_turb2,wind_speed,wind_direction,turbulence_intensity,turbine1_power,turbine2_powers,farm_power
0.0,0.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,50.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,100.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,150.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
50.0,0.0,8.0,270.0,0.06,1753.954459179171,132.5481088834421,1886.502568062613
50.0,50.0,8.0,270.0,0.06,1753.954459179171,667.0737904072637,2421.0282495864344
50.0,100.0,8.0,270.0,0.06,1753.954459179171,1461.1424270887578,3215.0968862679283
50.0,150.0,8.0,270.0,0.06,1753.954459179171,1738.0360301882154,3491.9904893673865
50.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.7824475606812,3507.736906739852
50.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.9540609074515,3507.9085200866225
50.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544589840489,3507.9089181632194
50.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591791514,3507.9089183583224
50.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
50.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
50.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
50.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
100.0,0.0,8.0,270.0,0.06,1753.954459179171,162.3702408788755,1916.3247000580466
100.0,50.0,8.0,270.0,0.06,1753.954459179171,690.0711176534048,2444.0255768325756
100.0,100.0,8.0,270.0,0.06,1753.954459179171,1467.1797424239994,3221.1342016031704
100.0,150.0,8.0,270.0,0.06,1753.954459179171,1737.5185067800955,3491.4729659592667
100.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.7598294786408,3507.7142886578113
100.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.9539485899902,3507.9084077691614
100.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544588862104,3507.9089180653814
100.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591791357,3507.9089183583064
100.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
