x_turb2,y_turb2,wind_speed,wind_direction,turbulence_intensity,turbine1_power,turbine2_powers,farm_power
800,0,8.0,270.0,0.06,1753.954459179171,615.0705887166782,2369.025047895849
800,200,8.0,270.0,0.06,1753.954459179171,1751.59341080572,3505.547869984891
800,400,8.0,270.0,0.06,1753.954459179171,1753.9544591778656,3507.9089183570363
800,600,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
900,0,8.0,270.0,0.06,1753.954459179171,694.0230843771438,2447.9775435563147
900,200,8.0,270.0,0.06,1753.954459179171,1750.2127240567606,3504.167183235931
900,400,8.0,270.0,0.06,1753.954459179171,1753.9544591626527,3507.9089183418237
900,600,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
1000,0,8.0,270.0,0.06,1753.954459179171,768.2851651161002,2522.239624295271
1000,200,8.0,270.0,0.06,1753.954459179171,1748.4077524663348,3502.3622116455053
1000,400,8.0,270.0,0.06,1753.954459179171,1753.9544590339246,3507.9089182130956
1000,600,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
1100,0,8.0,270.0,0.06,1753.954459179171,844.6832179150193,2598.63767709419
1100,200,8.0,270.0,0.06,1753.954459179171,1746.1738337393563,3500.1282929185277
1100,400,8.0,270.0,0.06,1753.954459179171,1753.9544582311148,3507.9089174102855
1100,600,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
1200,0,8.0,270.0,0.06,1753.954459179171,910.7809228918352,2664.735382071006
1200,200,8.0,270.0,0.06,1753.954459179171,1743.5305667611506,3497.4850259403215
1200,400,8.0,270.0,0.06,1753.954459179171,1753.954454342197,3507.908913521368
1200,600,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
1300,0,8.0,270.0,0.06,1753.954459179171,968.5141426693218,2722.4686018484927
1300,200,8.0,270.0,0.06,1753.954459179171,1740.5175423087887,3494.4720014879595
1300,400,8.0,270.0,0.06,1753.954459179171,1753.9544390815815,3507.9088982607527
1300,600,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
1400,0,8.0,270.0,0.06,1753.954459179171,1019.3326667894032,2773.287125968574
1400,200,8.0,270.0,0.06,1753.954459179171,1737.189029127032,3491.143488306203
1400,400,8.0,270.0,0.06,1753.954459179171,1753.9543888994508,3507.9088480786218
1400,600,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
1500,0,8.0,270.0,0.06,1753.954459179171,1064.355897210697,2818.310356389868
1500,200,8.0,270.0,0.06,1753.954459179171,1733.6085649668526,3487.563024146023
1500,400,8.0,270.0,0.06,1753.954459179171,1753.954246766558,3507.9087059457293
1500,600,8.0,270.0,0.06,1753.954459179171,1753.9544591791705,3507.9089183583415
1600,0,8.0,270.0,0.06,1753.954459179171,1104.468295611809,2858.42275479098
1600,200,8.0,270.0,0.06,1753.954459179171,1729.8440461926605,3483.798505371831
1600,400,8.0,270.0,0.06,1753.954459179171,1753.9538921515264,3507.9083513306973
1600,600,8.0,270.0,0.06,1753.954459179171,1753.9544591791653,3507.908918358336
1700,0,8.0,270.0,0.06,1753.954459179171,1140.3813739830684,2894.3358331622394
1700,200,8.0,270.0,0.06,1753.954459179171,1725.96362514999,3479.918084329161
1700,400,8.0,270.0,0.06,1753.954459179171,1753.9530982818312,3507.907557461002
