x_turb2,y_turb2,wind_speed,wind_direction,turbulence_intensity,turbine1_power,turbine2_powers,farm_power
0.0,0.0,8.0,0.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,10.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,20.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,30.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,40.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,50.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,60.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,70.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,80.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,90.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,100.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,110.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,120.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,130.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,140.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,150.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,160.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,170.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,180.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,190.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,200.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,210.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,220.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,230.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,240.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,250.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,260.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,280.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,290.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,300.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,310.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,320.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,330.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,340.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,0.0,8.0,350.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,50.0,8.0,0.0,0.06,132.5481088834421,1753.954459179171,1886.502568062613
0.0,50.0,8.0,10.0,0.06,150.0479062802871,1753.954459179171,1904.002365459458
0.0,50.0,8.0,20.0,0.06,203.346733638643,1753.954459179171,1957.301192817814
0.0,50.0,8.0,30.0,0.06,289.5884786474871,1753.954459179171,2043.5429378266579
0.0,50.0,8.0,40.0,0.06,372.18598857688556,1753.954459179171,2126.140447756057
0.0,50.0,8.0,50.0,0.06,460.57842985214427,1753.954459179171,2214.5328890313153
0.0,50.0,8.0,60.0,0.06,540.5275819011077,1753.954459179171,2294.482041080278
0.0,50.0,8.0,70.0,0.06,595.2030139045382,1753.954459179171,2349.157473083709
0.0,50.0,8.0,80.0,0.06,623.8397803956497,1753.954459179171,2377.794239574821
0.0,50.0,8.0,90.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
0.0,50.0,8.0,100.0,0.06,1753.954459179171,623.8397054165474,2377.7941645957185
0.0,50.0,8.0,110.0,0.06,1753.954459179171,595.202864507058,2349.157323686229
0.0,50.0,8.0,120.0,0.06,1753.954459179171,540.527358105322,2294.481817284493
0.0,50.0,8.0,130.0,0.06,1753.954459179171,460.5781335334111,2214.5325927125823
0.0,50.0,8.0,140.0,0.06,1753.954459179171,372.1857442150049,2126.140203394176
0.0,50.0,8.0,150.0,0.06,1753.954459179171,289.58820742870694,2043.5426666078777
0.0,50.0,8.0,160.0,0.06,1753.954459179171,203.34647541635533,1957.300934595526
0.0,50.0,8.0,170.0,0.06,1753.954459179171,150.04780327244296,1904.002262451614
0.0,50.0,8.0,180.0,0.06,1753.954459179171,132.54810888344215,1886.502568062613
0.0,50.0,8.0,190.0,0.06,1753.954459179171,150.04790628028704,1904.002365459458
0.0,50.0,8.0,200.0,0.06,1753.954459179171,203.3467336386432,1957.3011928178141
0.0,50.0,8.0,210.0,0.06,1753.954459179171,289.5884786474871,2043.5429378266579
0.0,50.0,8.0,220.0,0.06,1753.954459179171,372.18598857688556,2126.140447756057
0.0,50.0,8.0,230.0,0.06,1753.954459179171,460.57842985214427,2214.5328890313153
0.0,50.0,8.0,240.0,0.06,1753.954459179171,540.5275819011077,2294.482041080278
0.0,50.0,8.0,250.0,0.06,1753.954459179171,595.2030139045385,2349.157473083709
0.0,50.0,8.0,260.0,0.06,1753.954459179171,623.8397803956497,2377.794239574821
0.0,50.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
