,intercept,layer,node,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49
32,-0.96050817,0,32,-0.086140156,-0.0014086659,-0.4013071,-0.5532847,0.000109582885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-0.5391893,0,33,0.0057834387,-0.5997611,0.16846502,-0.00042802969,-0.09102708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.21733126,0,34,0.3932883,-0.0870078,0.40383524,0.42481154,-0.32247835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.56078106,0,35,0.28295088,-0.011698171,-0.1996392,0.64564574,-0.38124597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-0.49175185,0,36,0.047988236,-0.59882617,0.31936085,0.23666237,0.09816456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-0.7047783,0,37,0.15793747,-0.0064331456,-0.09405145,-0.45845127,0.012849842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-0.45074832,0,38,0.3550778,0.18583599,-0.31545478,0.06477275,-0.4275163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-0.7128502,0,39,-0.246184,-0.0021164431,0.15283304,-0.45226428,0.0043211235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-0.7564042,0,40,0.018813431,0.24384305,-0.33805773,-0.4444977,0.010346309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.3123684,0,41,0.31301975,-0.2734663,0.37721962,0.16525029,0.053002644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,-0.21050683,0,42,-0.0033290684,-0.21784276,0.056110263,-0.107070334,0.05815149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,-0.032677244,0,43,0.057061315,-0.7460604,-0.2343987,0.5275477,-0.11443335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-0.05488795,0,44,-0.032112718,0.22197825,0.1615501,0.12632142,-0.23729058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,-0.6484862,0,45,0.22153974,-0.7726239,-0.12694797,0.039453838,-0.040148098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.62354845,0,46,0.004891753,0.24163505,0.055829644,0.60631627,-0.024390839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-0.70947295,0,47,-0.2827347,0.41168618,-0.31613353,-0.36010784,0.06363958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.06715666,0,48,0.1476664,0.30973515,-0.14396515,0.121811815,0.16224164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,-0.5691834,0,49,-0.43249676,0.7570723,-0.36981094,-0.026645618,0.032680925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.3353266,1,0,-2.585916,0.048390716,-0.060126107,-1.8314444,0.2820645,-0.06339603,0.07573889,-0.016242081,0.44973472,0.07547141,-0.35695022,0.15143727,-0.020559816,-0.0005923664,-0.014128105,0.18582371,-0.746501,-0.027768496,-0.13396417,-0.60514516,0.20172635,-0.33324674,0.0017176543,0.006227988,0.14507432,0.8347346,-0.07946833,-0.011493654,-0.31476352,-0.03510486,-0.0701447,0.034662254,-2.4368575,1.1730666,-0.05293685,-0.050833333,0.51066345,-1.0387715,-0.72391146,-0.78554106,0.081468046,0.054695614,0.4743888,0.8225875,-0.6039867,0.62251043,-0.4526808,-0.3814825,-0.6399197,-0.11588666
1,-0.06721203,1,1,-0.25304332,0.45752645,-0.38982296,0.06180254,1.9349028,0.5067988,0.39351785,0.079384156,-0.05046094,0.4406391,0.7987439,0.054441396,0.03014805,0.05893938,0.031731296,-0.07151739,0.07354498,0.0068106255,0.029412739,0.27331388,-1.0101168,-0.38803697,0.09058829,-0.021120215,-0.04817618,-2.8002443,0.00800533,0.077331714,0.0286035,0.2287661,-0.26382092,1.1210247,-0.2589976,-0.2524011,0.00507259,0.024903469,-1.7140691,0.15114826,-0.111946195,0.1588128,0.2746483,-0.7882404,-0.35090595,-0.2193767,-0.011142524,-0.14973374,-0.018945461,0.7956111,0.054109834,1.5335509
2,-0.062199675,1,2,0.6238703,-0.31257644,-0.051407576,0.71249396,0.009036013,-1.4879134,0.95307887,-0.2723717,0.0184581,-0.4862935,-1.0205896,0.1825445,0.27833244,-1.1739346,-0.88779545,-1.8874577,-0.2667163,0.094071254,-0.30102617,0.40254837,-0.06814832,0.15588383,-0.41317558,0.30243978,-2.021484,0.2671349,0.091658145,-0.32424295,-0.40057433,0.7219103,0.17931855,0.12993684,1.0562618,0.1278917,-0.018794477,-3.365608,-0.14108938,0.38650894,-0.3353061,0.3365858,0.28215486,-0.2584326,-0.3075833,0.2728901,-0.22794192,0.052115582,-0.7706635,-2.3629568,0.14223094,-0.7643027
3,-0.23195863,1,3,-2.3397486,0.0011432675,0.17068575,-2.9507973,-0.31742784,0.1660903,0.098081164,0.012751788,0.111977056,0.092364274,-0.6942805,-1.0776565,0.18923889,0.03409868,0.10465713,-0.033340536,-1.6586819,0.031978566,-0.019588323,-1.9629824,0.31033987,2.1917691,-0.2806863,0.019985499,-0.03042174,0.21782391,0.023337103,0.23638737,-0.16000919,0.09048344,-0.002942791,-0.06899621,-1.8174927,-0.0808037,-0.047630105,-0.022271035,-0.008845233,-2.9061081,-0.14421023,-2.865735,0.05595591,0.01168477,-0.09579214,-0.0052718297,-0.2572805,-0.20738395,-0.34231234,-0.75553715,-0.2158592,-0.62857366
4,0.21576948,1,4,-1.9518249,-0.085136406,0.07467353,-1.6343114,0.23389806,-0.08989189,-0.1847169,-3.0426688,0.07558644,-0.058972042,-0.04875891,-0.5111648,-0.47984838,-1.7309898,-1.6694509,0.16163146,-0.08997913,0.0831471,0.04982117,-0.76130456,0.03241734,-0.08150875,-0.36514822,-1.0540516,0.18813907,0.053069267,-0.028911807,-0.25330877,0.08931628,0.018998729,0.04634637,0.17496912,-2.7102766,-0.026162304,0.10095201,0.27202904,0.19753566,-1.2616589,0.054673586,-1.0838625,-0.012434578,0.049180932,-0.049987435,0.12739497,0.02957246,0.09119818,-1.1171505,0.08909681,-0.5537912,0.046913456
5,0.26840308,1,5,-0.849967,-0.48262328,-0.00897391,-0.4828227,-0.7414114,-0.7047931,-0.24211122,-0.49122748,-0.71508366,-0.7775139,-1.1166767,-0.108848736,0.018398479,-0.53182495,0.107870094,-0.47795612,-0.043299474,-0.42940414,0.55796254,-0.14315784,-0.25812936,-0.2795064,-0.29888475,-0.5372917,-0.39506015,-0.37742817,0.0082172295,0.24018858,0.4176457,-0.21706948,-0.6004397,-2.567789,-1.1226723,-0.37154022,-0.012344364,-0.13445513,0.18596122,-0.2539851,-0.17841408,-0.2907141,-0.5776754,0.17324443,0.17118715,-0.6866178,0.31856328,-0.11708452,-0.10321602,-1.342548,0.068652056,-1.6096505
6,-0.29755577,1,6,1.8571388,-0.29043853,0.23233342,1.5824054,-0.028333906,-0.089667976,1.0133631,-0.0042869872,-0.047624152,0.022913797,-0.05735221,-0.27827033,0.033149064,0.0009778965,0.011344497,0.015361296,0.079601824,-0.015882038,-0.03048334,0.41948184,0.11942192,-0.096609265,0.08999684,-0.0015146841,0.0151277995,0.1617656,-0.005861686,-0.021966264,-0.13350949,-0.06760707,0.6884033,0.5218615,3.0831707,0.040259458,-0.06747339,-0.035064742,0.050385755,0.67954236,-0.10405274,0.7055352,0.009686316,-0.010107173,-0.01866417,-0.0071673044,-0.14901744,1.6932913,-0.58010405,0.34555116,-0.039853103,0.08089681
7,-0.15358487,1,7,-1.3901396,-0.11254887,-0.2507953,-0.7213413,-0.17138574,-0.08967371,0.03789547,1.7910937,-0.09576722,0.009068236,0.24301326,0.064633444,-0.55166405,-0.083907485,-0.29158267,0.391258,-0.11723094,0.43893927,-1.944167,-0.08058815,-0.36076024,0.057331137,-1.1458168,0.3449877,0.19193901,0.011163817,-2.5849988,-0.058647815,0.5061737,-0.13457821,-0.11293956,-0.3304764,-2.1099026,0.16731407,0.22837946,-0.07609343,-0.17823008,-0.24738112,-0.2842688,-0.3340889,0.019153675,0.0037561045,0.0018297338,0.004162239,0.24963339,0.07483922,-0.070459135,0.11669001,-0.7285426,0.3109797
8,0.08234254,1,8,-1.5351526,-0.37648973,0.033035643,-1.4664005,-1.3593605,-0.48788294,-0.11665558,-0.0019511732,-0.56822973,-0.012330844,-0.6837956,-0.8848398,-0.074365854,0.00875561,0.08237337,-0.10737672,-0.04297731,-0.03812597,-0.068631195,-0.9959974,0.3115669,-1.8610762,-0.07960804,0.006593286,-0.067971855,0.2628401,-0.007364354,0.071040235,-0.07705375,0.08309488,-0.022195134,-2.3988764,-2.5386589,-1.8470825,-0.020642472,0.52747947,-0.22175296,-1.524579,-0.014552892,-1.1721172,0.08443993,0.028609497,-0.31654468,-0.05746906,-0.030542027,-5.3752522,-0.029259719,-0.8087744,-0.115144625,-0.7638558
9,0.15358627,1,9,-0.9129304,-0.7770223,-0.08213728,-0.72268933,-2.4533105,-0.88176787,-1.0297431,-0.0914168,-1.0206355,-2.8348927,-1.0690489,0.02578627,-0.023583531,0.09426561,0.04594885,-0.12225622,-0.039355148,0.14958338,-0.016802182,-0.22942264,-0.18026,-2.5439153,-0.024636954,0.007237743,-0.14196536,-0.4658684,0.013109156,0.2490539,0.08644002,-0.8787949,-0.043705676,-1.1462737,-1.2618265,-1.8833423,0.15062232,-0.07770504,-0.90995586,-0.33780026,-0.008036073,-0.33535743,-2.8762803,0.05015639,-0.1342857,-0.078849174,0.08659536,-2.1055634,0.006684038,-2.0609443,-0.017248355,-0.8354162
10,0.06286548,1,10,-0.16518751,-0.21603765,0.019743133,-0.5505651,0.017711008,0.1242685,0.02522747,-1.8024974,0.21998303,0.047520287,-0.13650723,0.031048419,-0.67480594,-1.0846051,-0.3426414,-0.58397967,-0.18062572,-0.2652128,-0.37963304,-0.07120251,0.05922203,0.11814082,0.047299035,-1.3291218,-0.7083439,-0.12320482,-0.18055722,-0.17435673,-0.019474663,-0.22503379,-0.6005748,0.6936647,-0.71136296,0.42962793,-0.9357197,-1.2266738,0.14645131,-0.2613788,-0.051358294,-0.36366016,-0.083222635,0.18431123,0.26659566,-0.22437012,-0.12740332,0.25147325,-1.0092152,-0.059431326,-0.91114783,0.0560162
11,0.27370274,1,11,-0.35728115,-0.30561155,-0.08706872,-0.23547927,-3.2718878,-0.60863805,-0.9098544,-0.0667256,0.11210495,-1.2659643,-1.2704998,0.30935133,0.1907125,-0.0067383735,-0.048142698,-1.3287994,-0.052037116,0.04615584,-0.31277192,0.12721133,0.16413876,-0.25441658,-0.41456816,0.1187099,-1.1750602,-0.17044047,0.029595325,-0.03671705,-0.54790616,-0.6724488,0.19256672,-0.58438134,-0.8716259,-0.20566465,-0.48089874,-0.3069645,0.42272535,-0.025343882,-0.101099364,0.027927948,-1.1869456,-0.061349098,-0.12698953,-0.11404081,0.38069704,-0.15920547,0.030152138,-1.0685805,0.15518756,-3.0168447
12,0.03727601,1,12,-0.5880853,-0.029071003,0.08543056,-0.42431954,0.07446859,-0.004357523,0.48071894,-0.21284384,-0.31630445,0.04217552,-0.1478391,-0.8371957,-1.2022184,-0.17071486,-0.9449062,-0.23052147,0.109019406,-1.37142,0.1622271,0.020463198,0.2719346,0.06272774,-0.3322152,0.10820395,-0.11501189,0.8636836,0.11960158,-0.5898799,0.28161833,0.21256165,0.24006842,0.23982073,-1.241496,0.04971281,-1.1701087,-0.35106605,0.03049747,-0.5450532,0.2933215,-0.30142733,0.32703948,-0.48742557,-0.6790686,0.07538221,-0.03625588,0.17910938,-2.0737834,-0.20711096,-1.1920222,0.032551605
